date,Baseflow,Runoff,Direct Precip,PET,Creek Inflow,Dam Outflow,Obs
2020-06-03,9.314647957899963,0,0,-6.648526346,7.2638985599999994,-18.8352,1.352839974867724
2020-06-04,9.141101128326978,0.041328486,0.005736804,-5.873403784,10.285574400000002,-18.9216,1.3719836567292887
2020-06-05,9.106136513115406,0,0,-6.81328501,10.110009600000001,-19.008,1.3460298581540686
2020-06-06,8.983222188,0,0,-6.470105715,6.86811744,-18.8352,1.3696272052806193
2020-06-07,8.877005241395755,0,0,-6.145815125,6.59648448,-18.7488,1.292488791583689
2020-06-08,8.749197387227582,0,0,-4.560600024,6.561345600000001,-18.576,1.338347813855016
2020-06-09,8.719744389230204,8.592800704,11.921077993221195,-6.653675458,6.477874559999999,-18.4896,1.3491837679460064
2020-06-10,8.603699301848135,36.84650252519364,35.1043956,-7.3905678,6.406344000000001,-18.3168,1.40341848
2020-06-11,8.458413382087162,0,0,-7.933889735,12.052368,-18.2304,1.3373816659200746
2020-06-12,8.409641117588269,0,0,-5.013294991,40.101523199999995,-18.144,1.4132177209892358
2020-06-13,8.352391842114605,0,0,-4.071330833,36.875606399999995,-18.2304,1.4230844123343336
2020-06-14,8.192933702396568,0,0,-4.657307603,8.14754592,-18.2304,1.451099210736766
2020-06-15,8.172059743695916,0.041328486,0.005736804,-5.331479096,5.636148480000001,-18.3168,1.4134482286592907
2020-06-16,8.033481681330747,0,0,-5.773487714,6.089186880000001,-18.4032,1.3185962865416048
2020-06-17,8.018973067,0,0,-6.298787755,5.918063040000001,-18.4896,1.537095283132142
2020-06-18,7.894625649786923,0.11057277206434364,0.15467018681360442,-7.320511407,5.88040128,-18.4896,1.238394556917944
2020-06-19,7.812390001,0.11031611457154218,0.15467018680839498,-7.412807308,5.81067648,-18.576,1.3708239926323313
2020-06-20,7.712225161200468,7.86016253,11.26223961511931,-6.793193121,6.05302848,-18.576,1.3628320648382162
2020-06-21,7.665375570152192,0,0,-6.996608941,6.11740512,-18.4896,1.3701361912139907
2020-06-22,7.5574060517382495,6.311208568738058,9.096856999776568,-6.603245205,12.709267199999998,-18.4896,1.4132436339139707
2020-06-23,7.469391734535314,0.8422026668609383,1.2316246900739523,-5.313133765,13.037327999999999,-18.4896,1.3679890576702811
2020-06-24,7.431543537147851,0,0,-4.545100937,12.229488000000002,-18.4032,1.4067762363555523
2020-06-25,7.396675791666145,0,0,-4.082728743,13.116643199999999,-18.4032,1.3852973291666957
2020-06-26,7.233108836024472,0.2901989064286273,0.45827375602197584,-5.740096107,6.8278032,-18.3168,1.3410641133778392
2020-06-27,7.206136677741967,0.15157886684347727,0.160406991,-6.104117663,5.32825344,-18.3168,1.3878550348118355
2020-06-28,7.152426585329391,0,0,-5.909745134,5.50584,-18.2304,1.3477839350367466
2020-06-29,7.090622022,0,0,-7.109371918,5.562406079999999,-18.2304,1.3785136549236503
2020-06-30,6.951362803469308,0,0,-7.916928713,5.31570816,-21.8592,1.2877022751121683
2020-07-01,6.967525250857403,0,0,-6.952867359,5.149414080000001,-21.6,1.2865111912527667
2020-07-02,6.826234243564504,0,0,-6.68515232,5.096010240000001,-21.4272,1.2920146463458624
2020-07-03,6.825384648188675,0,0,-7.102527997,5.0480928,-21.168,1.1821405101711164
2020-07-04,6.715645542,0,0,-6.655603141,4.99995072,-20.9952,1.3260730945149923
2020-07-05,6.698672834,0,0,-7.085334101,4.95278496,-20.736,1.0788547082996693
2020-07-06,6.593885420897553,0,0,-7.582223461,4.9063190400000005,-20.5632,1.216158202
2020-07-07,6.560431803942371,0.11061411120765278,0.15467018680818626,-7.307302251,4.86058752,-20.304,1.2291430346201728
2020-07-08,6.484208256669087,0.11024825471090924,0.15467018681381314,-7.112696847,4.815573120000001,-20.1312,1.3072256663303317
2020-07-09,6.44216772,8.623875265058707,13.318622946704606,-7.571601799,4.77379008,-20.0448,1.1885100359071334
2020-07-10,6.359490000074967,98.80583092765185,68.18638163355708,-7.893887082,4.830114239999999,-19.7856,1.3163683847601453
2020-07-11,6.333637813539902,0.1106141112070467,0.15467018681381314,-7.075100563,20.8269792,-19.6128,1.2653796949935456
2020-07-12,6.231828177069195,0.220888887,0.30934037361658123,-4.377664217,75.3030432,-19.3536,1.3585005176009048
2020-07-13,6.219524064797188,0,0,-5.368881318,64.58944319999999,-19.0944,1.509269441037548
2020-07-14,6.1746969577765345,0,0,-4.907220685,9.50616,-18.8352,1.3373864859347349
2020-07-15,6.098991690388697,1.1457050588701616,1.5524386725125803,-6.041655565,4.24011456,-18.576,1.3952086613052357
2020-07-16,6.003283733638814,0.17960174023071143,0.30360356921358084,-6.000100415,4.5942681599999995,-18.3168,1.3297419487787299
2020-07-17,5.984811287004559,0,0,-5.345438625,5.42238624,-18.0576,1.3856134355443854
2020-07-18,5.956242154922419,15.343616596026083,22.19219163898899,-6.469523529,5.984547839999999,-17.7984,1.3565364597752247
2020-07-19,5.857594045939124,0,0,-6.279536801,4.95410688,-17.5392,1.2122766516416965
2020-07-20,5.856744665043141,0,0,-5.187071071,18.2644416,-17.28,1.3656742850960069
2020-07-21,5.811225825415997,0.24854803010782767,0.45253695161376595,-5.631020309,19.2366144,-17.0208,1.3704322324784401
2020-07-22,5.735287328,0.4830818646875565,0.6244175516522087,-5.534920791,5.06494944,-20.8224,1.3573474630915852
2020-07-23,5.710946079,0,0,-5.678914818,4.248426240000001,-20.6496,1.3634323226814595
2020-07-24,5.613394869587013,0.11059716620005358,0.15467018680818626,-5.304750286,4.7344176,-20.4768,1.3575932957819747
2020-07-25,5.602508695251651,0,0,-6.112837517,4.47106176,-20.2176,1.3269613735795809
2020-07-26,5.570452383,0.6213795135023288,0.9222843164521616,-6.382001553,4.22989344,-20.0448,1.3502814779235268
2020-07-27,5.504569645558241,5.686440390243077,7.338340432991227,-6.452459008,4.18558752,-19.872,1.3147886600698786
2020-07-28,5.468057468167535,0.9941017978928711,1.3920316812959752,-5.662005546,4.654437120000001,-19.6992,1.3488258782880322
2020-07-29,5.395451635755418,0,0,-5.549734193,9.9110304,-19.5264,1.259146945
2020-07-30,5.354725475443111,0,0,-5.641370283,10.6720416,-19.3536,1.2530861314663633
2020-07-31,5.335393853224277,0,0,-5.660634174,5.3346816,-19.1808,1.289075694841965
2020-08-01,5.6508631007449575,120.58793967523883,74.39084658362552,-5.933110202,3.9152678399999994,-19.3536,1.3946384453030698
2020-08-02,6.660814280857564,20.674778181901058,27.221952878634667,-6.252976178,3.8912227200000005,-19.6128,1.384384606155431
2020-08-03,7.581438310226286,13.296112644814391,19.121735120413504,-5.040657737,92.047968,-19.7856,1.5148033090901343
2020-08-04,7.784802132386791,0,0,-4.144246407,126.051552,-20.0448,1.5203044968929753
2020-08-05,7.742413636680935,0,0,-4.763873532,52.52523839999999,-20.2176,1.693132695916755
