date,snowmelt,snowpack,rain,snow,PET,max_temp,min_temp
2019-01-01,0.0,28.339419108280257,0.645136,2.19297,0.35255,0.38382978723404254,-13.184255319148935
2019-01-02,0.0,28.99112738853503,0.41924,10.4652,0.436833,-2.932553191489362,-12.372765957446807
2019-01-03,0.0,31.37142675159236,0.0,0.74982,0.321247,-1.7625531914893617,-3.3297872340425534
2019-01-04,0.03880525477707408,31.332621496815285,0.0,2.63925,0.181546,3.4602127659574466,-3.756808510638298
2019-01-05,0.0,31.421545547770698,0.0,0.0,0.479203,2.1006382978723406,-3.632978723404255
2019-01-06,0.0,32.0437127388535,0.0410134,0.0589866,0.423094,0.6951063829787234,-9.396170212765957
2019-01-07,0.0,33.67304713375796,0.0600211,0.639118,0.47293,4.202127659574468,-11.315531914893619
2019-01-08,3.491762025477705,30.181285108280257,0.464249,1.32838,0.599306,5.524468085106382,-1.6525531914893616
2019-01-09,0.0,32.486036942675156,5.41011,1.03446,0.568128,-0.9572340425531916,-7.37531914893617
2019-01-10,0.0,33.31563248407643,0.0,2.52898,0.396627,-6.9542553191489365,-11.947659574468084
2019-01-11,0.0,33.494724840764334,0.0,0.918313,0.221509,-7.335744680851064,-15.957872340425531
2019-01-12,0.0,33.58426878980892,0.0,0.2,0.19185,-6.972978723404256,-11.114680851063829
2019-01-13,0.0,33.58426878980892,0.0,0.1,0.184339,-7.189361702127659,-15.69659574468085
2019-01-14,0.0,33.6738127388535,0.0,0.0,0.197831,-3.7119148936170214,-12.390638297872341
2019-01-15,0.0,34.433385350318474,0.0,0.1,0.326828,-2.249787234042553,-8.086170212765957
2019-01-16,0.0,35.773363694267516,0.0,0.837275,0.336633,-1.7204255319148936,-15.766170212765957
2019-01-17,0.0,35.95244968152866,0.0,1.47401,0.375279,-5.816808510638298,-17.29212765957447
2019-01-18,0.0,37.09291337579618,0.0,0.2,0.240463,-3.1448936170212765,-10.772340425531915
2019-01-19,0.0,39.75438789808917,0.0,1.25049,0.357911,-14.562127659574466,-18.082765957446806
2019-01-20,0.0,41.34513375796178,0.0,3.00737,0.029088,-15.832340425531916,-20.711702127659574
2019-01-21,0.0,41.569903184713375,0.0,1.80823,8.12333e-07,-15.144893617021275,-22.2868085106383
2019-01-22,0.0,41.74899936305732,0.0,0.237241,0.0,-1.4893617021276595,-21.572340425531916
2019-01-23,1.9266508917197385,39.822348471337584,0.0,0.2,0.333576,4.160638297872341,-1.4204255319148937
2019-01-24,0.0,40.6051974522293,12.2974,1.10789,0.503239,-1.6621276595744683,-5.069148936170213
2019-01-25,0.0,42.895235031847136,0.0,0.881906,0.365174,-8.247234042553192,-14.534893617021277
2019-01-26,0.0,42.98859808917197,0.0,2.53844,0.220985,-12.116170212765958,-18.014255319148937
2019-01-27,0.0,44.629501273885346,0.0,0.100861,0.0840154,-9.93659574468085,-18.951914893617023
2019-01-28,0.0,49.63632165605095,0.0,1.84637,0.131087,-10.523617021276596,-23.34659574468085
2019-01-29,0.0,57.29107515923567,0.0,5.5319,0.0124763,-6.350851063829787,-14.649999999999999
2019-01-30,0.0,57.85522165605096,0.0,8.5837,0.276336,-18.693829787234044,-22.72872340425532
2019-01-31,0.0,58.3473592356688,0.0,0.618956,0.0,-17.347234042553193,-23.786595744680852
2019-02-01,0.0,58.3473592356688,0.0,0.53699,0.0,-12.56255319148936,-23.025957446808512
2019-02-02,0.0,58.46505732484076,0.0,0.0,0.00284969,-1.2559574468085106,-17.127021276595745
2019-02-03,4.533752929936298,53.93130439490446,0.0,0.119207,0.473623,5.767021276595745,-0.7321276595744681
2019-02-04,19.287831101910825,34.64347329299363,0.460502,0.0401078,0.730627,9.745106382978722,3.845744680851064
2019-02-05,0.0,40.38600161146497,0.538408,0.0,0.854113,3.103404255319149,-7.4929787234042555
2019-02-06,0.0,49.62163821656051,2.04331,4.58016,0.807081,-3.031276595744681,-8.918297872340425
2019-02-07,2.502697324840767,47.118940891719745,0.0,10.3431,0.411678,9.163191489361703,-5.109148936170213
2019-02-08,0.0,48.95553694267516,0.715323,0.421667,1.10991,-0.9582978723404255,-12.061063829787233
2019-02-09,0.0,49.62930955414013,0.0445536,1.96756,0.616838,-6.874042553191489,-12.397659574468086
2019-02-10,0.0,49.71885031847134,0.0,0.737546,0.28649,-5.227021276595745,-12.772340425531914
2019-02-11,0.0,52.177154777070065,0.0,0.1,0.366769,-4.957021276595745,-9.108085106382978
2019-02-12,0.0,66.12554713375796,0.0,2.73613,0.347804,0.27765957446808515,-12.22531914893617
2019-02-13,0.0,72.54535987261146,0.411173,15.1296,0.669591,-2.575744680851064,-5.499361702127659
2019-02-14,0.0,73.16809044585987,0.0,7.08637,0.42267,0.45787234042553193,-7.17468085106383
2019-02-15,0.0,76.36426751592357,0.0198907,0.679248,0.633293,1.4387234042553192,-6.438297872340426
2019-02-16,0.0,77.03549426751592,0.700073,2.80498,0.730026,-5.731063829787234,-11.584042553191491
2019-02-17,0.0,77.48067834394905,0.0,0.73699,0.360593,-7.710212765957447,-14.401063829787235
2019-02-18,0.0,79.63557006369426,0.0,0.499444,0.282509,-7.073191489361702,-14.302978723404255
2019-02-19,0.0,79.993750955414,0.0,2.42719,0.311879,-6.09404255319149,-18.324255319148936
2019-02-20,0.0,80.9810872611465,0.0,0.4,0.340652,0.3278723404255319,-16.44
2019-02-21,0.0,84.26301176433121,0.0137046,1.08685,0.705832,0.953404255319149,-2.856382978723404
2019-02-22,0.0,84.44206496815288,0.920402,2.73576,0.598659,-0.21382978723404256,-7.780212765957447
